station_code;name;latitude;longitude;capacity;is_installed;is_renting;is_returning;town
2003;Saint-Denis - Réaumur;48.86611163;2.350779068;32;1;1;1;Paris
3011;Turbigo - Réaumur;48.86557405;2.356419861;31;1;1;1;Paris
22503;Joffre - Aigle;48.904033;2.245096;20;1;1;1;La Garenne-Colombes
10027;Dunkerque - Alsace;48.879355;2.358379;20;1;1;1;Paris
5122;Saint-Michel - Luxembourg;48.84501508;2.339494117;29;1;1;1;Paris
4103;Archives - Rivoli;48.85734671;2.353976704;25;1;1;1;Paris
13017;Nationale - Vincent Auriol;48.83252708;2.36235441;33;1;1;1;Paris
20029;Frères Flavien - Porte des Lilas;48.87809928;2.411046299;23;1;1;1;Paris
2002;Etienne Marcel - Montorgueil;48.86450567;2.346195951;28;1;1;1;Paris
1102;Française - Etienne Marcel;48.8640533;2.347587012;37;1;1;1;Paris
15111;Olivier de Serres - Leriche;48.83460222;2.295748293;25;1;1;1;Paris
3005;Sainte-Elisabeth - Turbigo;48.86610337;2.359649241;33;1;1;1;Paris
24006;Adolphe Lalyre - Armand Silvestre;48.90406267;2.273416221;40;1;1;1;Courbevoie
2005;Montmartre - Etienne Marcel;48.86502195;2.34506844;16;1;1;1;Paris
3009;Temple - Haudriettes;48.86163688;2.356696021;19;1;1;1;Paris
19129;Solitaires - Place des Fêtes;48.876601;2.391769;29;1;1;1;Paris
4014;Blancs-Manteaux - Archives;48.85941801;2.355947122;29;1;1;1;Paris
2021;Cléry - Montmartre;48.867458;2.3445211;44;1;1;1;Paris
26005;Hôtel de Ville d'Asnières sur Seine;48.9099933;2.288238108;30;1;1;1;Asnières-sur-Seine
14132;Bézout - Général Leclerc;48.82884805;2.328597307;30;1;1;1;Paris
3012;Square Emile - Chautemps;48.86743372;2.353635728;25;1;1;1;Paris
23702;Hôtel de Ville de Chaville;48.80887149;2.188134044;20;1;1;1;Chaville
21507;Gardenat-Lapostol - Velettes;48.87387;2.224185;20;1;1;1;Suresnes
22306;Place du 17 Octobre;48.9196269;2.297828613;20;1;1;1;Gennevilliers
22502;Kléber - National;48.9063339;2.239391059;20;1;1;1;La Garenne-Colombes
14022;Didot - Mariniers;48.82650544;2.313136198;35;1;1;1;Paris
3006;Mairie du 3ème;48.86446178;2.361762822;32;1;1;1;Paris
13125;Gare d'Austerlitz - Pont Charles de Gaulle;48.84231983;2.36703001;55;1;1;1;Paris
22504;Château - République;48.905928;2.253629;20;1;1;1;La Garenne-Colombes
19012;Lally-Tollendal - Armand Carrel;48.88270066;2.374717556;28;1;1;1;Paris
48005;Eugène Varlin - Place de la Paix;48.792862;2.363093;23;1;1;1;Villejuif
12020;Cours de Vincennes - Soult;48.84691876;2.410522029;45;1;1;1;Paris
14133;Froidevaux - Boulard;48.83514732;2.329441197;35;1;1;1;Paris
31001;Lagny - Auguste Blanqui;48.84922568;2.421860397;27;1;1;1;Montreuil
42211;Séminaire de Conflans - Liberté;48.823194;2.404179;26;1;1;1;Charenton-le-Pont
14023;Adolphe Pinard - Victor Hugo;48.82368259;2.307784371;52;1;1;1;Malakoff
3003;Fille du Calvaire - Turenne;48.86210505;2.364960015;29;1;1;1;Paris
15062;Convention - Lourmel;48.84205504;2.285991088;36;1;1;1;Paris
4009;Village Saint-Paul;48.85263987;2.360730171;28;1;1;1;Paris
18136;Poulet - Barbès;48.887148;2.349064;20;1;1;1;Paris
26006;Bas - Gabriel Péri;48.91585581;2.29480952;30;1;1;1;Asnières-sur-Seine
9111;Victoire - Laffitte;48.87514373;2.338118505;20;1;1;1;Paris
44001;Quai Jules Guesde - Saint-Simon;48.80391487;2.408966162;30;1;1;1;Vitry-sur-Seine
1014;Rivoli - Musée du Louvre;48.86364637;2.334095836;24;1;1;1;Paris
12163;Hippodrome Paris-Vincennes;48.82048388;2.446271181;42;1;1;1;Paris
21215;Verdier - Jean Jaurès;48.81614049;2.312356196;33;1;1;1;Montrouge
21509;Gardenat Lapostol - Franklin Roosevelt;48.871839;2.222505;24;1;1;1;Suresnes
41208;Alouettes - Maréchal de Lattre de Tassigny;48.85511009;2.493070029;22;1;1;1;Fontenay-sous-Bois
3002;Saint-Gilles - Turenne;48.85815896;2.364714992;18;1;1;1;Paris
42704;Mairie du Kremlin-Bicêtre;48.81191982;2.357019;25;1;1;1;Le Kremlin-Bicêtre
19111;Cesaria Evora - Rosa Parks;48.89717673;2.374517396;40;1;1;1;Paris
21706;Jean Bleuzen - Square du 11 Novembre;48.8232579;2.2965213;49;1;1;1;Vanves
